Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
mandril.pgm,512,512,2.5,70,120,30.148352,1.428960,21.09
peppers_gray.pgm,512,512,0.5,30,80,30.047487,1.419040,21.17
peppers_gray.pgm,512,512,0.5,30,100,31.010208,1.457280,21.27
peppers_gray.pgm,512,512,0.5,30,120,30.016352,1.437568,20.87
peppers_gray.pgm,512,512,0.5,50,80,30.106560,1.426304,21.10
peppers_gray.pgm,512,512,0.5,50,100,31.146624,1.431552,21.75
peppers_gray.pgm,512,512,0.5,50,120,29.878944,1.425824,20.95
peppers_gray.pgm,512,512,0.5,70,80,30.597504,1.423840,21.48
peppers_gray.pgm,512,512,0.5,70,100,30.968288,1.426112,21.71
peppers_gray.pgm,512,512,0.5,70,120,31.012257,1.437856,21.56
peppers_gray.pgm,512,512,1.0,30,80,31.144768,1.460576,21.32
peppers_gray.pgm,512,512,1.0,30,100,31.243393,1.476224,21.16
peppers_gray.pgm,512,512,1.0,30,120,29.642529,1.424672,20.80
peppers_gray.pgm,512,512,1.0,50,80,29.652576,1.458752,20.32
peppers_gray.pgm,512,512,1.0,50,100,31.156576,1.454784,21.41
peppers_gray.pgm,512,512,1.0,50,120,31.146912,1.453600,21.42
peppers_gray.pgm,512,512,1.0,70,80,29.825632,1.433440,20.80
peppers_gray.pgm,512,512,1.0,70,100,31.131296,1.449760,21.47
peppers_gray.pgm,512,512,1.0,70,120,31.118240,1.433600,21.70
peppers_gray.pgm,512,512,1.5,30,80,29.646368,1.420416,20.87
peppers_gray.pgm,512,512,1.5,30,100,39.157249,1.502560,26.06
peppers_gray.pgm,512,512,1.5,30,120,29.912064,1.428864,20.93
peppers_gray.pgm,512,512,1.5,50,80,29.990561,1.441888,20.79
peppers_gray.pgm,512,512,1.5,50,100,30.012928,1.445696,20.76
peppers_gray.pgm,512,512,1.5,50,120,29.802015,1.440736,20.68
peppers_gray.pgm,512,512,1.5,70,80,30.257153,1.421856,21.28
