Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
livingroom.pgm,512,512,1.0,30,100,31.496832,1.522080,20.69
livingroom.pgm,512,512,1.0,30,120,29.874336,1.435872,20.80
livingroom.pgm,512,512,1.0,50,80,31.256992,1.451424,21.53
livingroom.pgm,512,512,1.0,50,100,29.802336,1.432416,20.80
livingroom.pgm,512,512,1.0,50,120,37.837055,1.438048,26.31
livingroom.pgm,512,512,1.0,70,80,30.719296,1.418720,21.65
livingroom.pgm,512,512,1.0,70,100,29.919968,1.425728,20.98
livingroom.pgm,512,512,1.0,70,120,31.191809,1.444224,21.59
livingroom.pgm,512,512,1.5,30,80,30.271360,1.445600,20.94
livingroom.pgm,512,512,1.5,30,100,29.681824,1.429024,20.77
livingroom.pgm,512,512,1.5,30,120,31.088224,1.424224,21.82
livingroom.pgm,512,512,1.5,50,80,29.886240,1.423968,20.98
livingroom.pgm,512,512,1.5,50,100,31.130112,1.431456,21.74
livingroom.pgm,512,512,1.5,50,120,29.800159,1.408480,21.15
livingroom.pgm,512,512,1.5,70,80,31.183872,1.437952,21.68
livingroom.pgm,512,512,1.5,70,100,30.937824,1.420544,21.77
livingroom.pgm,512,512,1.5,70,120,30.111040,1.446688,20.81
livingroom.pgm,512,512,2.0,30,80,31.171455,1.462368,21.31
livingroom.pgm,512,512,2.0,30,100,30.856319,1.438144,21.45
livingroom.pgm,512,512,2.0,30,120,30.998848,1.433952,21.61
livingroom.pgm,512,512,2.0,50,80,31.163584,1.436832,21.68
livingroom.pgm,512,512,2.0,50,100,31.374720,1.442272,21.75
livingroom.pgm,512,512,2.0,50,120,36.226719,1.432896,25.28
livingroom.pgm,512,512,2.0,70,80,31.241407,1.427616,21.88
livingroom.pgm,512,512,2.0,70,100,30.839264,1.451520,21.24
livingroom.pgm,512,512,2.0,70,120,31.031073,1.439136,21.56
livingroom.pgm,512,512,2.5,30,80,30.035872,1.431840,20.97
livingroom.pgm,512,512,2.5,30,100,29.759169,1.425568,20.87
livingroom.pgm,512,512,2.5,30,120,31.052671,1.447104,21.45
livingroom.pgm,512,512,2.5,50,80,35.757183,1.431904,24.97
livingroom.pgm,512,512,2.5,50,100,30.219168,1.417600,21.31
livingroom.pgm,512,512,2.5,50,120,34.921120,1.442304,24.21
livingroom.pgm,512,512,2.5,70,80,30.064640,1.430816,21.01
livingroom.pgm,512,512,2.5,70,100,29.754784,1.438560,20.68
livingroom.pgm,512,512,2.5,70,120,29.985888,1.445760,20.74
mandril.pgm,512,512,0.5,30,80,30.088896,1.425728,21.10
mandril.pgm,512,512,0.5,30,100,37.905762,1.452544,26.09
mandril.pgm,512,512,0.5,30,120,31.274529,1.457536,21.45
mandril.pgm,512,512,0.5,50,80,30.070623,1.421632,21.15
mandril.pgm,512,512,0.5,50,100,31.123615,1.433568,21.71
mandril.pgm,512,512,0.5,50,120,38.131233,1.451616,26.26
mandril.pgm,512,512,0.5,70,80,29.747200,1.426368,20.85
mandril.pgm,512,512,0.5,70,100,30.988480,1.461568,21.20
mandril.pgm,512,512,0.5,70,120,30.786432,1.446208,21.28
mandril.pgm,512,512,1.0,30,80,30.093952,1.446272,20.80
mandril.pgm,512,512,1.0,30,100,30.840128,1.409664,21.87
mandril.pgm,512,512,1.0,30,120,29.836449,1.434880,20.79
mandril.pgm,512,512,1.0,50,80,30.876448,1.435712,21.50
mandril.pgm,512,512,1.0,50,100,30.689089,1.453504,21.11
mandril.pgm,512,512,1.0,50,120,30.956448,1.432160,21.61
mandril.pgm,512,512,1.0,70,80,30.823200,1.440832,21.39
mandril.pgm,512,512,1.0,70,100,30.406816,1.433696,21.20
mandril.pgm,512,512,1.0,70,120,30.827871,1.436672,21.45
mandril.pgm,512,512,1.5,30,80,30.964960,1.428960,21.66
mandril.pgm,512,512,1.5,30,100,30.919935,1.432576,21.58
mandril.pgm,512,512,1.5,30,120,29.705856,1.424896,20.84
mandril.pgm,512,512,1.5,50,80,37.304256,1.408512,26.48
mandril.pgm,512,512,1.5,50,100,30.242336,1.463424,20.66
mandril.pgm,512,512,1.5,50,120,31.067488,1.436352,21.62
mandril.pgm,512,512,1.5,70,80,31.210785,1.442592,21.63
mandril.pgm,512,512,1.5,70,100,30.261248,1.441664,20.99
mandril.pgm,512,512,1.5,70,120,30.980864,1.443872,21.45
mandril.pgm,512,512,2.0,30,80,29.887903,1.426272,20.95
mandril.pgm,512,512,2.0,30,100,29.900896,1.429056,20.92
mandril.pgm,512,512,2.0,30,120,35.227680,1.461568,24.10
mandril.pgm,512,512,2.0,50,80,30.247808,1.450880,20.84
mandril.pgm,512,512,2.0,50,100,29.948481,1.423616,21.03
mandril.pgm,512,512,2.0,50,120,29.831104,1.419712,21.01
mandril.pgm,512,512,2.0,70,80,30.170401,1.443488,20.90
mandril.pgm,512,512,2.0,70,100,31.305792,1.438368,21.76
mandril.pgm,512,512,2.0,70,120,31.131201,1.424512,21.85
mandril.pgm,512,512,2.5,30,80,36.877502,1.449600,25.43
mandril.pgm,512,512,2.5,30,100,29.803936,1.407552,21.17
mandril.pgm,512,512,2.5,30,120,31.018047,1.452192,21.35
mandril.pgm,512,512,2.5,50,80,31.246529,1.432896,21.80
mandril.pgm,512,512,2.5,50,100,31.084543,1.435680,21.65
mandril.pgm,512,512,2.5,50,120,30.112288,1.443072,20.86
mandril.pgm,512,512,2.5,70,80,31.255648,1.437344,21.74
mandril.pgm,512,512,2.5,70,100,30.098976,1.420512,21.18
mandril.pgm,512,512,2.5,70,120,29.927391,1.434752,20.85
peppers_gray.pgm,512,512,0.5,30,80,37.318432,1.540992,24.21
peppers_gray.pgm,512,512,0.5,30,100,30.932928,1.443200,21.43
