Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
walkbridge.pgm,512,512,2.0,30,120,30.029951,1.409120,21.31
walkbridge.pgm,512,512,2.0,50,80,30.988129,1.439616,21.52
walkbridge.pgm,512,512,2.0,50,100,37.404896,1.448768,25.81
walkbridge.pgm,512,512,2.0,50,120,29.765856,1.420832,20.94
walkbridge.pgm,512,512,2.0,70,80,31.011456,1.425632,21.75
walkbridge.pgm,512,512,2.0,70,100,30.773184,1.435968,21.43
walkbridge.pgm,512,512,2.0,70,120,29.801376,1.411840,21.10
walkbridge.pgm,512,512,2.5,30,80,30.082144,1.435584,20.95
walkbridge.pgm,512,512,2.5,30,100,31.040577,1.440864,21.54
walkbridge.pgm,512,512,2.5,30,120,30.139008,1.416544,21.27
walkbridge.pgm,512,512,2.5,50,80,30.800480,1.435008,21.46
walkbridge.pgm,512,512,2.5,50,100,37.706978,1.472352,25.61
walkbridge.pgm,512,512,2.5,50,120,37.394463,1.435168,26.05
walkbridge.pgm,512,512,2.5,70,80,35.569183,1.582272,22.47
walkbridge.pgm,512,512,2.5,70,100,31.269472,1.471744,21.24
walkbridge.pgm,512,512,2.5,70,120,29.840223,1.406560,21.21
